id,name,country,stage,inst,since,pronouns,topics,bio,paper_cat,paper_title,paper_venue,languages
p0,Lian Tan,Singapore,Senior,NUS Saw Swee Hock School of Public Health,2022,she/her,Methods|Vaccine,Bayesian inference for outbreak data with partial reporting.,Preprint,A Bayesian framework for regional outbreaks.,Lancet Inf Dis - 2024,"EN, ZH"
p1,Priya Balasubramanian,Singapore,Faculty,Duke-NUS Medical School,2022,she/her,Dengue,Wolbachia releases and the long-tail of dengue suppression.,Paper,Spatial heterogeneity of vector-borne diseases.,PLOS Comp Bio - 2025,"EN, ZH"
p2,Grace Lim,Singapore,PhD,A*STAR Infectious Diseases Labs,2024,she/her,AMR,Genomic-epidemiological fusion models for hospital AMR.,Dataset,Transmission dynamics of tropical populations.,Nature Comms - 2026,"EN, ZH"
p3,Ryna Sharma,Singapore,Senior,Duke-NUS Medical School,2022,she/her,Dengue|Methods,Global climate ensembles downscaled to dengue risk.,Preprint,Serotype-specific transmission of hospital settings.,Epidemics - 2024,"EN, ZH"
p4,Wei Jie Ong,Singapore,Faculty,NUS Yong Loo Lin School of Medicine,2022,he/him,Respiratory,Respiratory virus transmission in high-density urban settings.,Paper,Contact networks driving island networks.,BMC ID - 2025,"EN, ZH"
p5,Shalini Menon,Singapore,Postdoc,NUS Saw Swee Hock School of Public Health,2023,she/her,Methods|Vaccine,Real-time nowcasting of outbreak incidence from syndromic data.,Dataset,Hybrid ML methods for regional outbreaks.,medRxiv - 2026,"EN, ZH"
p6,Benjamin Koh,Singapore,PhD,Duke-NUS Medical School,2024,he/him,Vaccine|Methods,Vaccine rollout optimisation under supply constraints.,Preprint,Cost-effectiveness of vector-borne diseases.,Lancet Inf Dis - 2024,"EN, ZH"
p7,Aisha Rahman,Singapore,Faculty,NUS Saw Swee Hock School of Public Health,2022,she/her,AMR,Within-host modelling of drug-resistant bacterial infections.,Paper,Stewardship impact on tropical populations.,PLOS Comp Bio - 2025,"EN, ZH"
p8,Marcus Teo,Singapore,Postdoc,A*STAR Bioinformatics Institute,2023,he/him,Zoonoses,Phylodynamic surveillance of emerging zoonotic pathogens.,Dataset,Bat-origin prevalence of hospital settings.,Nature Comms - 2026,"EN, ZH"
p9,Hui Min Lee,Singapore,PhD,NUS Yong Loo Lin School of Medicine,2024,she/her,TB|Methods,TB transmission dynamics in foreign-worker dormitories.,Preprint,Household transmission of island networks.,Epidemics - 2024,"EN, ZH"
p10,Arjun Patel,Singapore,PH,Ministry of Health · Communicable Diseases Division,2023,he/him,Respiratory|Vaccine,Pandemic preparedness modelling for national stockpiling.,Paper,Contact networks driving regional outbreaks.,BMC ID - 2025,"EN, ZH"
p11,Sok Yin Chua,Singapore,Senior,NUS Saw Swee Hock School of Public Health,2022,she/her,Methods,Mechanistic–statistical hybrid models for policy advice.,Dataset,Hybrid ML methods for vector-borne diseases.,medRxiv - 2026,"EN, ZH"
p12,Rajiv Krishnan,Singapore,Postdoc,Duke-NUS Medical School,2024,he/him,Dengue|Methods,Fine-scale dengue cluster forecasting using mobility data.,Preprint,Serotype-specific transmission of tropical populations.,Lancet Inf Dis - 2024,"EN, ZH"
p13,Jia Wen Lim,Singapore,PhD,NUS Saw Swee Hock School of Public Health,2024,she/her,Vaccine,Cost-effectiveness of paediatric dengue vaccination in the region.,Paper,Waning immunity in hospital settings.,PLOS Comp Bio - 2025,"EN, ZH"
p14,Dewi Kartika Sari,Indonesia,Postdoc,Universitas Gadjah Mada,2023,she/her,Vaccine,Spatial heterogeneity in routine immunisation across the Indonesian archipelago.,Dataset,Rollout strategies for island networks.,Nature Comms - 2026,"EN, ID"
